model,category,idIndex,primaryid,collision,transient override,lobmodel,viewmodel,worldmat,viewmat,group1,group2,group3,group4,group5,group6,group7,group8,wetmodel,wetviewmodel,productionLevel
body_usmc_desert_assault_mp_camo,shirt,1,1,1,none,,,,,snow,ally,assault,!female,,,,,,,Gold
body_usmc_desert_female_assault_mp_camo,shirt,1,1,1,,,,,,desert,ally,assault,female,,,,,,,Gold
body_h2_opforce_assault,shirt,1,1,1,,,,,,desert,!ally,assault,!female,!racewht,!raceblk,!racetan,,body_h2_airborne_assault,,Gold
body_h2_opforce_assault,shirt,1,1,1,,,,,,snow,!ally,assault,!female,!racewht,!raceblk,!racetan,,body_h2_airborne_assault,,Gold
body_arab_desert_assault_mp_camo_brn,shirt,1,1,1,,,,,,desert,!ally,assault,!female,raceblk,,,,,,Gold
body_arab_desert_assault_mp_camo_tan,shirt,1,1,1,,,,,,desert,!ally,assault,!female,racetan,,,,,,Gold
body_arab_desert_assault_mp_camo_wht,shirt,1,1,1,,,,,,desert,!ally,assault,!female,racewht,,,,,,Gold
body_arab_desert_female_assault_mp_camo,shirt,1,1,1,,,,,,desert,!ally,assault,female,!racewht,!raceblk,!racetan,,,,Gold
body_arab_desert_female_assault_mp_camo_brn,shirt,1,1,1,,,,,,desert,!ally,assault,female,raceblk,,,,,,Gold
body_arab_desert_female_assault_mp_camo_tan,shirt,1,1,1,,,,,,desert,!ally,assault,female,racetan,,,,,,Gold
body_arab_desert_female_assault_mp_camo_wht,shirt,1,1,1,,,,,,desert,!ally,assault,female,racewht,,,,,,Gold
body_arab_desert_female_lmg_mp_camo,shirt,1,1,1,,,,,,desert,!ally,lmg,female,!racewht,!raceblk,!racetan,,,,Gold
body_arab_desert_female_lmg_mp_camo_brn,shirt,1,1,1,,,,,,desert,!ally,lmg,female,raceblk,,,,,,Gold
body_arab_desert_female_lmg_mp_camo_tan,shirt,1,1,1,,,,,,desert,!ally,lmg,female,racetan,,,,,,Gold
body_arab_desert_female_lmg_mp_camo_wht,shirt,1,1,1,,,,,,desert,!ally,lmg,female,racewht,,,,,,Gold
body_arab_desert_female_shotgun_mp_camo,shirt,1,1,1,,,,,,desert,!ally,shotgun,female,!racewht,!raceblk,!racetan,,,,Gold
body_arab_desert_female_shotgun_mp_camo_brn,shirt,1,1,1,,,,,,desert,!ally,shotgun,female,raceblk,,,,,,Gold
body_arab_desert_female_shotgun_mp_camo_tan,shirt,1,1,1,,,,,,desert,!ally,shotgun,female,racetan,,,,,,Gold
body_arab_desert_female_shotgun_mp_camo_wht,shirt,1,1,1,,,,,,desert,!ally,shotgun,female,racewht,,,,,,Gold
body_arab_desert_female_smg_mp_camo,shirt,1,1,1,,,,,,desert,!ally,smg,female,!racewht,!raceblk,!racetan,,,,Gold
body_arab_desert_female_smg_mp_camo_brn,shirt,1,1,1,,,,,,desert,!ally,smg,female,raceblk,,,,,,Gold
body_arab_desert_female_smg_mp_camo_tan,shirt,1,1,1,,,,,,desert,!ally,smg,female,racetan,,,,,,Gold
body_arab_desert_female_smg_mp_camo_wht,shirt,1,1,1,,,,,,desert,!ally,smg,female,racewht,,,,,,Gold
body_arab_desert_female_sniper_mp_camo,shirt,1,1,1,,,,,,desert,!ally,sniper,female,!racewht,!raceblk,!racetan,,,,Gold
body_arab_desert_female_sniper_mp_camo_brn,shirt,1,1,1,,,,,,desert,!ally,sniper,female,raceblk,,,,,,Gold
body_arab_desert_female_sniper_mp_camo_tan,shirt,1,1,1,,,,,,desert,!ally,sniper,female,racetan,,,,,,Gold
body_arab_desert_female_sniper_mp_camo_wht,shirt,1,1,1,,,,,,desert,!ally,sniper,female,racewht,,,,,,Gold
body_h2_opforce_lmg,shirt,1,1,1,,,,,,desert,!ally,lmg,!female,!racewht,!raceblk,!racetan,,body_h2_airborne_lmg,,Gold
body_h2_opforce_lmg,shirt,1,1,1,,,,,,snow,!ally,lmg,!female,!racewht,!raceblk,!racetan,,body_h2_airborne_lmg,,Gold
